estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque
AL,2000-04-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,0.6,1.4,0.13,0.06777742105,0.647,0.574,0.282,2.41,5899305.42246968
AL,2000-05-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,1.35,1.41,0.67,0.06742340909,0.647,0.574,0.282,2.33,5899305.42246968
AL,2000-06-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,0.73,1.64,0.93,0.06583842857,0.647,0.574,0.282,2.25,5899305.42246968
AL,2000-07-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,0.3,3.28,2.26,0.06180695238,0.647,0.574,0.282,2.22,5899305.42246968
AL,2000-08-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,0.39,4.63,1.82,0.06069895652,0.647,0.574,0.282,2.3,5899305.42246968
AL,2000-09-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,0.26,4.87,0.69,0.0608283,0.647,0.574,0.282,2.42,5899305.42246968
AL,2000-10-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,0.33,5.02,0.37,0.06095,0.647,0.574,0.282,2.32,5899305.42246968
AL,2000-11-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,0.41,5.35,0.39,0.0606442,0.647,0.574,0.282,2.1,5899305.42246968
AL,2000-12-01,1495516.5281053751,647396.1418333333,0.5261127498,1307471.87067429,2827856.0,0.64,5.97,0.76,0.05957005,0.647,0.574,0.282,1.91,5899305.42246968
AL,2001-01-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.58,0.57,0.49,0.05715877273,0.647,0.574,0.282,1.81,6000846.22352563
AL,2001-02-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.34,1.03,0.34,0.05616633333,0.647,0.574,0.282,1.67,6000846.22352563
AL,2001-03-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.27,1.42,0.8,0.05683477273,0.647,0.574,0.282,1.66,6000846.22352563
AL,2001-04-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.36,2.0,1.13,0.05898695,0.647,0.574,0.282,1.7,6000846.22352563
AL,2001-05-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,2.11,2.42,0.44,0.06037795455,0.647,0.574,0.282,1.89,6000846.22352563
AL,2001-06-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,1.16,2.96,1.46,0.0632839,0.647,0.574,0.282,1.89,6000846.22352563
AL,2001-07-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.52,4.32,1.62,0.067608,0.647,0.574,0.282,1.96,6000846.22352563
AL,2001-08-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.62,5.06,0.9,0.06903843478,0.647,0.574,0.282,1.88,6000846.22352563
AL,2001-09-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.55,5.35,0.38,0.06926705263,0.647,0.574,0.282,1.81,6000846.22352563
AL,2001-10-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.93,6.22,1.45,0.06926381818,0.647,0.574,0.282,1.88,6000846.22352563
AL,2001-11-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.74,6.98,0.76,0.0692149,0.647,0.574,0.282,2.01,6000846.22352563
AL,2001-12-01,1522938.3507287,707345.5109999999,0.5294004152416667,1089225.6672446,2856629.0,0.34,7.67,0.18,0.06922,0.647,0.574,0.282,1.84,6000846.22352563
AL,2002-01-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.36,0.52,0.19,0.06922,0.647,0.574,0.282,1.9,6098524.41582601
AL,2002-02-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.58,0.88,0.18,0.06893983333,0.647,0.574,0.282,1.79,6098524.41582601
AL,2002-03-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.55,1.49,0.11,0.06812395,0.647,0.574,0.282,1.79,6098524.41582601
AL,2002-04-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.33,2.3,0.7,0.06696195455,0.647,0.574,0.282,1.65,6098524.41582601
AL,2002-05-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,2.53,2.51,1.11,0.06693057143,0.647,0.574,0.282,1.55,6098524.41582601
AL,2002-06-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.57,2.94,1.74,0.06603575,0.647,0.574,0.282,1.77,6098524.41582601
AL,2002-07-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.29,4.17,2.05,0.06627265217,0.647,0.574,0.282,1.98,6098524.41582601
AL,2002-08-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.0,4.85,2.36,0.0651615,0.647,0.574,0.282,1.77,6098524.41582601
AL,2002-09-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,0.71,5.6,2.64,0.06534580952,0.647,0.574,0.282,2.15,6098524.41582601
AL,2002-10-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.13,6.98,4.21,0.07100473913,0.647,0.574,0.282,2.18,6098524.41582601
AL,2002-11-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,2.45,10.22,5.84,0.0764882,0.647,0.574,0.282,2.46,6098524.41582601
AL,2002-12-01,1677937.6820558999,883243.2705267166,0.5810969155583333,1037094.84043914,2887535.0,1.7,12.53,2.7,0.08229309524,0.647,0.574,0.282,3.46,6098524.41582601
AL,2003-01-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,1.51,2.25,2.17,0.08877068182,0.647,0.574,0.282,3.59,6172460.00795063
AL,2003-02-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,1.39,3.86,1.59,0.09073265,0.647,0.574,0.282,3.84,6172460.00795063
AL,2003-03-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,1.38,5.13,1.66,0.092749,0.647,0.574,0.282,3.95,6172460.00795063
AL,2003-04-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,0.9,6.15,0.41,0.0927578,0.647,0.574,0.282,4.06,6172460.00795063
AL,2003-05-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,2.84,6.8,-0.67,0.09272338095,0.647,0.574,0.282,3.94,6172460.00795063
AL,2003-06-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,1.05,6.64,-0.7,0.092025,0.647,0.574,0.282,3.6,6172460.00795063
AL,2003-07-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,0.99,6.85,-0.2,0.08972826087,0.647,0.574,0.282,3.23,6172460.00795063
AL,2003-08-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,1.44,7.22,0.62,0.083783,0.647,0.574,0.282,3.17,6172460.00795063
AL,2003-09-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,0.22,8.05,1.05,0.07573604545,0.647,0.574,0.282,2.7,6172460.00795063
AL,2003-10-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,0.65,8.37,0.44,0.07083917391,0.647,0.574,0.282,2.65,6172460.00795063
AL,2003-11-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,1.04,8.74,0.48,0.0667516,0.647,0.574,0.282,2.36,6172460.00795063
AL,2003-12-01,1596924.0882850916,959047.7935692333,0.5473296747999999,667727.712607716,2917664.0,0.16,9.3,0.6,0.062015,0.647,0.574,0.282,1.57,6172460.00795063
AL,2004-01-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,0.33,0.76,0.8,0.0599982381,0.647,0.574,0.282,1.43,6261937.06181048
AL,2004-02-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,1.0,1.37,1.08,0.05993777778,0.647,0.574,0.282,1.27,6261937.06181048
AL,2004-03-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,1.16,1.85,0.93,0.05956991304,0.647,0.574,0.282,1.24,6261937.06181048
AL,2004-04-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,0.59,2.23,1.15,0.0587633,0.647,0.574,0.282,1.21,6261937.06181048
AL,2004-05-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,1.83,2.75,1.46,0.0581277619,0.647,0.574,0.282,1.35,6261937.06181048
AL,2004-06-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,0.7,3.48,1.29,0.05822585714,0.647,0.574,0.282,1.59,6261937.06181048
AL,2004-07-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,1.12,4.42,1.14,0.05813868182,0.647,0.574,0.282,1.72,6261937.06181048
AL,2004-08-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,0.81,5.14,1.31,0.05843936364,0.647,0.574,0.282,1.83,6261937.06181048
AL,2004-09-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,0.58,5.49,0.48,0.05923480952,0.647,0.574,0.282,1.87,6261937.06181048
AL,2004-10-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,1.19,5.95,0.53,0.06031435,0.647,0.574,0.282,1.76,6261937.06181048
AL,2004-11-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,0.71,6.68,0.82,0.0621806,0.647,0.574,0.282,1.71,6261937.06181048
AL,2004-12-01,1644236.877310017,1064010.5835187,0.5515889031583333,710735.441888161,2980910.0,0.51,7.6,0.52,0.06401773913,0.647,0.574,0.282,1.74,6261937.06181048
AL,2005-01-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.75,0.58,0.33,0.0654687619,0.647,0.574,0.282,1.57,6344077.42160595
AL,2005-02-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.44,1.17,0.4,0.06729072222,0.647,0.574,0.282,1.49,6344077.42160595
AL,2005-03-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.67,1.79,0.99,0.068961,0.647,0.574,0.282,1.37,6344077.42160595
AL,2005-04-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.72,2.68,0.51,0.07010755,0.647,0.574,0.282,1.37,6344077.42160595
AL,2005-05-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,2.09,3.18,-0.25,0.07106719048,0.647,0.574,0.282,1.18,6344077.42160595
AL,2005-06-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.76,3.16,-0.45,0.071533,0.647,0.574,0.282,0.95,6344077.42160595
AL,2005-07-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.11,3.42,-0.4,0.07145590476,0.647,0.574,0.282,0.76,6344077.42160595
AL,2005-08-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.02,3.59,-0.79,0.07154213043,0.647,0.574,0.282,0.55,6344077.42160595
AL,2005-09-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.24,3.95,-0.13,0.07107052381,0.647,0.574,0.282,0.29,6344077.42160595
AL,2005-10-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.19,4.73,0.63,0.0698922,0.647,0.574,0.282,0.25,6344077.42160595
AL,2005-11-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.28,5.31,0.33,0.0686031,0.647,0.574,0.282,0.24,6344077.42160595
AL,2005-12-01,1683610.9305141168,1170452.5898386918,0.5582427241,909596.615225644,3015912.0,0.37,5.69,0.07,0.06651395455,0.647,0.574,0.282,0.25,6344077.42160595
AL,2006-01-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.34,0.59,0.72,0.06452986364,0.647,0.574,0.282,0.27,6428173.06422105
AL,2006-02-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.19,1.0,-0.06,0.06327316667,0.647,0.574,0.282,0.37,6428173.06422105
AL,2006-03-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.2,1.44,-0.45,0.06142243478,0.647,0.574,0.282,0.29,6428173.06422105
AL,2006-04-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.36,1.65,0.02,0.05957944444,0.647,0.574,0.282,0.12,6428173.06422105
AL,2006-05-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,1.32,1.75,0.38,0.05789063636,0.647,0.574,0.282,0.13,6428173.06422105
AL,2006-06-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.9,1.54,0.67,0.05608404762,0.647,0.574,0.282,0.21,6428173.06422105
AL,2006-07-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.47,1.73,0.17,0.05540461905,0.647,0.574,0.282,0.33,6428173.06422105
AL,2006-08-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.24,1.78,0.41,0.05429469565,0.647,0.574,0.282,0.44,6428173.06422105
AL,2006-09-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.11,2.0,0.24,0.0526018,0.647,0.574,0.282,0.6,6428173.06422105
AL,2006-10-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.21,2.33,0.81,0.05183728571,0.647,0.574,0.282,0.57,6428173.06422105
AL,2006-11-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.23,2.65,0.57,0.0507845,0.647,0.574,0.282,0.59,6428173.06422105
AL,2006-12-01,1760606.295186975,1306895.8181746667,0.577124593425,876921.330693335,3050652.0,0.36,3.14,0.26,0.049164,0.647,0.574,0.282,0.69,6428173.06422105
AL,2007-01-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.45,0.44,0.43,0.04896572727,0.647,0.574,0.282,0.68,6529451.68540568
AL,2007-02-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.21,0.88,0.23,0.04827277778,0.647,0.574,0.282,0.6,6529451.68540568
AL,2007-03-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.27,1.26,0.22,0.04758977273,0.647,0.574,0.282,0.57,6529451.68540568
AL,2007-04-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.46,1.51,0.14,0.04703045,0.647,0.574,0.282,0.54,6529451.68540568
AL,2007-05-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,1.15,1.79,0.16,0.046503,0.647,0.574,0.282,0.48,6529451.68540568
AL,2007-06-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.92,2.08,0.26,0.0450878,0.647,0.574,0.282,0.39,6529451.68540568
AL,2007-07-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.31,2.32,0.37,0.04400663636,0.647,0.574,0.282,0.3,6529451.68540568
AL,2007-08-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.26,2.8,1.39,0.04295447826,0.647,0.574,0.282,0.28,6529451.68540568
AL,2007-09-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.51,2.99,1.17,0.04220568421,0.647,0.574,0.282,0.4,6529451.68540568
AL,2007-10-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.51,3.3,0.75,0.04206336364,0.647,0.574,0.282,0.5,6529451.68540568
AL,2007-11-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.36,3.69,1.05,0.042065,0.647,0.574,0.282,0.52,6529451.68540568
AL,2007-12-01,1894500.6097480834,1496836.6503360833,0.6017367013666667,982288.679919506,3037231.0,0.59,4.46,1.47,0.042065,0.647,0.574,0.282,0.47,6529451.68540568
AL,2008-01-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,0.38,0.54,0.99,0.04205845455,0.647,0.574,0.282,0.63,6647965.94362564
AL,2008-02-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,0.4,1.03,0.38,0.04206310526,0.647,0.574,0.282,0.65,6647965.94362564
AL,2008-03-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,0.66,1.52,0.7,0.0420614,0.647,0.574,0.282,0.7,6647965.94362564
AL,2008-04-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,0.87,2.08,1.12,0.04274185714,0.647,0.574,0.282,0.83,6647965.94362564
AL,2008-05-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,2.02,2.88,1.88,0.0436576,0.647,0.574,0.282,0.93,6647965.94362564
AL,2008-06-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,1.92,3.64,1.89,0.04529861905,0.647,0.574,0.282,1.14,6647965.94362564
AL,2008-07-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,1.46,4.19,1.12,0.04627117391,0.647,0.574,0.282,1.33,6647965.94362564
AL,2008-08-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,1.18,4.48,-0.38,0.04822657143,0.647,0.574,0.282,1.42,6647965.94362564
AL,2008-09-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,0.95,4.76,0.36,0.04987840909,0.647,0.574,0.282,1.23,6647965.94362564
AL,2008-10-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,0.77,5.23,1.09,0.05083973913,0.647,0.574,0.282,1.22,6647965.94362564
AL,2008-11-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,0.5,5.61,0.07,0.050753,0.647,0.574,0.282,1.24,6647965.94362564
AL,2008-12-01,1950339.2707476334,1676228.0383475332,0.6235977153916666,1274872.41958947,3127557.0,0.17,5.9,-0.44,0.050823,0.647,0.574,0.282,1.13,6647965.94362564
AL,2009-01-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,0.33,0.48,0.01,0.04964833333,0.647,0.574,0.282,0.95,6773699.30541316
AL,2009-02-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,0.27,1.03,-0.13,0.047314,0.647,0.574,0.282,0.87,6773699.30541316
AL,2009-03-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,-0.25,1.23,-0.84,0.04392790909,0.647,0.574,0.282,0.82,6773699.30541316
AL,2009-04-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,-0.04,1.72,0.04,0.04181185,0.647,0.574,0.282,0.67,6773699.30541316
AL,2009-05-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,1.39,2.2,0.18,0.0384042,0.647,0.574,0.282,0.55,6773699.30541316
AL,2009-06-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,0.7,2.57,-0.32,0.03616333333,0.647,0.574,0.282,0.38,6773699.30541316
AL,2009-07-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,0.26,2.81,-0.64,0.03422486957,0.647,0.574,0.282,0.19,6773699.30541316
AL,2009-08-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,-0.05,2.97,0.09,0.032927,0.647,0.574,0.282,0.02,6773699.30541316
AL,2009-09-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,0.15,3.21,0.25,0.032927,0.647,0.574,0.282,0.04,6773699.30541316
AL,2009-10-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,0.06,3.5,-0.04,0.032927,0.647,0.574,0.282,0.0,6773699.30541316
AL,2009-11-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,0.29,3.93,0.07,0.032927,0.647,0.574,0.282,-0.07,6773699.30541316
AL,2009-12-01,1977962.5222526833,1824295.9058532,0.6267093908833333,1634909.08721434,3156108.0,0.1,4.31,-0.11,0.03292531818,0.647,0.574,0.282,-0.06,6773699.30541316
AL,2010-01-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.64,0.75,1.01,0.03292515,0.755,0.641,0.52,-0.02,6930862.75002851
AL,2010-02-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.36,1.54,1.09,0.032927,0.755,0.641,0.52,0.08,6930862.75002851
AL,2010-03-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.75,2.06,0.63,0.032927,0.755,0.641,0.52,0.18,6930862.75002851
AL,2010-04-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.84,2.65,0.72,0.0331908,0.755,0.641,0.52,0.29,6930862.75002851
AL,2010-05-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,1.81,3.09,1.57,0.03565185714,0.755,0.641,0.52,0.43,6930862.75002851
AL,2010-06-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,1.09,3.09,0.34,0.0376,0.755,0.641,0.52,0.6,6930862.75002851
AL,2010-07-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.44,3.1,0.22,0.03897777273,0.755,0.641,0.52,0.67,6930862.75002851
AL,2010-08-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.14,3.14,1.1,0.040203,0.755,0.641,0.52,0.74,6930862.75002851
AL,2010-09-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.21,3.6,1.1,0.040203,0.755,0.641,0.52,0.85,6930862.75002851
AL,2010-10-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.2,4.38,1.03,0.040203,0.755,0.641,0.52,0.93,6930862.75002851
AL,2010-11-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.37,5.25,1.58,0.040203,0.755,0.641,0.52,0.99,6930862.75002851
AL,2010-12-01,2028352.6417408083,2028352.6417408083,0.6276167864333334,1757189.27279823,3120494.0,0.67,5.91,0.38,0.04020769565,0.755,0.641,0.52,1.23,6930862.75002851
AL,2011-01-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.41,0.83,0.98,0.04089519048,0.755,0.641,0.52,1.22,7102235.53510611
AL,2011-02-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.28,1.64,0.96,0.0420272,0.755,0.641,0.52,1.18,7102235.53510611
AL,2011-03-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.43,2.44,0.61,0.04364038095,0.755,0.641,0.52,1.15,7102235.53510611
AL,2011-04-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,1.06,3.23,0.5,0.04404368421,0.755,0.641,0.52,1.17,7102235.53510611
AL,2011-05-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,2.94,3.71,0.01,0.044698,0.755,0.641,0.52,1.11,7102235.53510611
AL,2011-06-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.37,3.87,-0.13,0.04533085714,0.755,0.641,0.52,0.91,7102235.53510611
AL,2011-07-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.45,4.04,-0.05,0.04587866667,0.755,0.641,0.52,0.84,7102235.53510611
AL,2011-08-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.13,4.42,0.61,0.04646017391,0.755,0.641,0.52,0.78,7102235.53510611
AL,2011-09-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.14,4.97,0.75,0.04464585714,0.755,0.641,0.52,0.73,7102235.53510611
AL,2011-10-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.23,5.43,0.4,0.04391405,0.755,0.641,0.52,0.7,7102235.53510611
AL,2011-11-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.72,5.97,0.43,0.042849,0.755,0.641,0.52,0.64,7102235.53510611
AL,2011-12-01,2194911.10646765,2377496.810980283,0.6982637522083334,1958261.00938541,3143384.0,0.11,6.5,-0.16,0.04106463636,0.755,0.641,0.52,0.46,7102235.53510611
AL,2012-01-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.89,0.56,0.3,0.0403295,0.75,0.641,0.59,0.38,7283723.05855449
AL,2012-02-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.3,1.01,0.07,0.03927,0.75,0.641,0.59,0.3,7283723.05855449
AL,2012-03-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.51,1.22,0.56,0.037179,0.75,0.641,0.59,0.26,7283723.05855449
AL,2012-04-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.75,1.87,1.02,0.035474,0.75,0.641,0.59,0.25,7283723.05855449
AL,2012-05-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,1.88,2.24,0.91,0.03373136364,0.75,0.641,0.59,0.35,7283723.05855449
AL,2012-06-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.73,2.32,0.69,0.0319778,0.75,0.641,0.59,0.51,7283723.05855449
AL,2012-07-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.67,2.76,1.52,0.03080763636,0.75,0.641,0.59,0.61,7283723.05855449
AL,2012-08-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.26,3.18,1.29,0.02997965217,0.75,0.641,0.59,0.79,7283723.05855449
AL,2012-09-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.22,3.77,0.88,0.028296,0.75,0.641,0.59,0.88,7283723.05855449
AL,2012-10-01,2227182.853502425,2604077.326240308,0.7035863383083334,1846452.0168425,3165472.0,0.21,4.38,-0.31,0.02770736364,0.75,0.641,0.59,0.89,7283723.05855449
