index,estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg
115,AC,1994-08-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,0.14,832.97,3.34,0.177797087,0.645,0.574,0.176,22.16,5101688.21675297,10.0564899114,,,,
116,AC,1994-09-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,0.38,847.24,1.55,0.179317619,0.645,0.574,0.176,18.06,5101688.21675297,10.0564899114,,,,
117,AC,1994-10-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,1.32,872.06,2.55,0.1874386842,0.645,0.574,0.176,15.46,5101688.21675297,10.0564899114,,,,
118,AC,1994-11-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,2.36,899.37,2.47,0.1997834,0.645,0.574,0.176,13.55,5101688.21675297,10.0564899114,,,,
119,AC,1994-12-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,1.32,916.46,0.57,0.1695606818,0.645,0.574,0.176,12.08,5101688.21675297,10.0564899114,,,,
120,AC,1995-01-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,3.5,1.7,1.36,0.1509696818,0.645,0.574,0.176,10.6,5237995.97235393,9.8007104132,,,,
121,AC,1995-02-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,2.09,2.74,1.15,0.1779998889,0.645,0.574,0.176,9.4,5237995.97235393,9.8007104132,,,,
122,AC,1995-03-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,3.3,4.33,1.81,0.1816376957,0.645,0.574,0.176,7.97,5237995.97235393,9.8007104132,,,,
123,AC,1995-04-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,2.3,6.87,2.3,0.2454311765,0.645,0.574,0.176,6.72,5237995.97235393,9.8007104132,,,,
124,AC,1995-05-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,8.77,9.72,0.4,0.1892727727,0.645,0.574,0.176,5.28,5237995.97235393,9.8007104132,,,,
125,AC,1995-06-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,3.12,12.2,2.62,0.1887621905,0.645,0.574,0.176,3.39,5237995.97235393,9.8007104132,,,,
126,AC,1995-07-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,1.09,14.84,2.24,0.1880001905,0.645,0.574,0.176,3.3,5237995.97235393,9.8007104132,,,,
127,AC,1995-08-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,0.62,15.98,1.29,0.1639563043,0.645,0.574,0.176,3.39,5237995.97235393,9.8007104132,,,,
128,AC,1995-09-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,0.72,17.13,-1.08,0.16366695,0.645,0.574,0.176,3.43,5237995.97235393,9.8007104132,,,,
129,AC,1995-10-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,0.86,18.78,0.23,0.1451110952,0.645,0.574,0.176,3.4,5237995.97235393,9.8007104132,,,,
130,AC,1995-11-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,0.73,20.53,1.33,0.14184995,0.645,0.574,0.176,3.38,5237995.97235393,9.8007104132,,,,
131,AC,1995-12-01,351991.49200521834,103091.39375,0.7148123917416668,329152.925807561,455242.0,0.86,22.41,0.27,0.1370666,0.645,0.574,0.176,3.27,5237995.97235393,9.8007104132,,,,
132,AC,1996-01-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,1.52,1.34,1.79,0.1156970909,0.645,0.574,0.176,3.39,5370309.20861707,8.4370293468,,,,
133,AC,1996-02-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.11,2.38,0.76,0.1224035263,0.645,0.574,0.176,3.29,5370309.20861707,8.4370293468,,,,
134,AC,1996-03-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.98,2.74,0.22,0.1046509524,0.645,0.574,0.176,3.39,5370309.20861707,8.4370293468,,,,
135,AC,1996-04-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.25,4.04,0.7,0.1024001,0.645,0.574,0.176,3.2,5370309.20861707,8.4370293468,,,,
